loan_id,age,gender,annual_income,loan_amount,term_months,purpose,credit_score,employment_length,home_ownership,previous_defaults,dti,installment,default
116,44,Male,113558.0,16993.0,24,debt_consolidation,765.0,3-5,RENT,1,16.16,708.04,0
117,31,Female,65348.0,12595.0,36,home_improvement,614.0,3-5,MORTGAGE,0,7.59,349.86,0
118,71,Male,44904.0,15439.0,60,other,679.0,1-3,OTHER,1,23.89,257.32,1
119,37,Male,8000.0,1000.0,36,car,598.0,10+,MORTGAGE,0,0.0,27.78,0
120,28,Male,8000.0,21904.0,60,debt_consolidation,762.0,<1,RENT,0,24.61,365.07,0
121,55,Female,79561.0,20515.0,12,education,777.0,3-5,RENT,0,22.7,1709.58,0
122,55,Female,54485.0,34010.0,24,other,589.0,5-10,OWN,0,21.89,1417.08,1
123,53,Male,35538.0,8593.0,60,debt_consolidation,584.0,5-10,RENT,2,15.21,143.22,0
124,25,Male,26583.0,10471.0,12,debt_consolidation,645.0,5-10,MORTGAGE,0,31.32,872.58,0
125,62,Male,82229.0,16568.0,36,home_improvement,719.0,3-5,RENT,0,4.36,460.22,1
126,59,Female,30494.0,14693.0,24,other,624.0,1-3,RENT,0,4.77,612.21,1
127,61,Male,108920.0,29219.0,36,education,627.0,10+,MORTGAGE,0,37.17,811.64,0
128,48,Male,130530.0,11325.0,24,education,723.0,1-3,MORTGAGE,0,18.26,471.88,0
129,27,Male,32999.0,13616.0,36,debt_consolidation,697.0,10+,MORTGAGE,0,27.38,378.22,0
130,29,Male,80095.0,9940.0,60,other,673.0,1-3,MORTGAGE,1,10.89,165.67,0
131,28,Male,73201.0,28713.0,24,car,683.0,1-3,MORTGAGE,0,13.21,1196.38,0
132,32,Female,30371.0,19385.0,36,other,698.0,1-3,RENT,0,34.8,538.47,0
133,54,Male,30540.0,29138.0,12,car,736.0,3-5,MORTGAGE,0,22.25,2428.17,1
134,53,Female,56322.0,41236.0,36,education,738.0,1-3,RENT,0,23.6,1145.44,1
135,68,Male,25848.0,8135.0,36,debt_consolidation,642.0,3-5,RENT,0,16.74,225.97,0
136,43,Male,92738.0,24704.0,36,small_business,671.0,3-5,RENT,0,11.74,686.22,1
137,44,Male,52617.0,12689.0,24,debt_consolidation,637.0,10+,OWN,0,26.27,528.71,0
138,57,Female,26381.0,8811.0,24,debt_consolidation,708.0,5-10,RENT,0,14.46,367.12,0
139,55,Female,57330.0,1803.0,36,car,609.0,5-10,RENT,0,14.77,50.08,0
140,64,Female,73993.0,34155.0,60,car,600.0,5-10,MORTGAGE,0,15.81,569.25,0
141,60,Female,38267.0,24018.0,24,home_improvement,646.0,<1,MORTGAGE,1,18.93,1000.75,1
142,42,Male,8000.0,12971.0,36,debt_consolidation,532.0,5-10,RENT,0,11.69,360.31,0
143,47,Female,63791.0,20597.0,36,debt_consolidation,423.0,3-5,MORTGAGE,0,10.43,572.14,0
144,55,Female,23490.0,1000.0,12,debt_consolidation,705.0,10+,MORTGAGE,0,13.27,83.33,1
145,21,Male,36188.0,14151.0,36,debt_consolidation,711.0,1-3,MORTGAGE,0,12.46,393.08,1
146,55,Female,74073.0,8143.0,60,car,609.0,5-10,MORTGAGE,0,0.0,135.72,0
147,57,Male,42363.0,28010.0,36,home_improvement,667.0,5-10,MORTGAGE,0,30.66,778.06,0
148,67,Male,55767.0,28615.0,12,other,782.0,1-3,MORTGAGE,0,19.89,2384.58,0
149,34,Male,103592.0,23014.0,60,debt_consolidation,666.0,1-3,RENT,0,12.78,383.57,1
150,23,Male,49439.0,23526.0,12,debt_consolidation,765.0,10+,RENT,0,27.15,1960.5,0
151,21,Male,120639.0,9151.0,24,car,629.0,3-5,MORTGAGE,0,4.7,381.29,0
152,25,Male,82197.0,21453.0,36,other,688.0,3-5,RENT,1,22.64,595.92,1
153,46,Male,32059.0,2586.0,24,debt_consolidation,709.0,10+,OTHER,0,16.54,107.75,0
154,34,Male,45709.0,1373.0,12,other,641.0,5-10,OWN,0,15.55,114.42,1
155,59,Female,22121.0,14051.0,36,home_improvement,654.0,5-10,MORTGAGE,0,13.98,390.31,0
156,47,Female,79124.0,19772.0,60,education,664.0,5-10,RENT,0,26.18,329.53,0
157,29,Male,99735.0,20383.0,36,other,619.0,3-5,MORTGAGE,0,15.67,566.19,0
158,35,Male,49248.0,3687.0,36,debt_consolidation,690.0,10+,OWN,0,18.23,102.42,0
159,35,Male,8000.0,1036.0,60,car,760.0,<1,MORTGAGE,0,32.2,17.27,0
160,46,Female,70814.0,10936.0,60,other,758.0,3-5,RENT,3,19.4,182.27,0
161,62,Male,34141.0,7112.0,24,education,813.0,10+,RENT,0,15.18,296.33,1
162,33,Male,38680.0,20508.0,36,home_improvement,646.0,3-5,RENT,0,18.48,569.67,1
163,71,Male,69346.0,5884.0,24,other,640.0,<1,MORTGAGE,0,23.38,245.17,0
164,52,Female,96960.0,32499.0,60,small_business,720.0,1-3,RENT,0,9.61,541.65,0
165,59,Male,82185.0,18261.0,60,home_improvement,774.0,10+,MORTGAGE,0,25.02,304.35,1
166,69,Male,72885.0,13678.0,24,debt_consolidation,753.0,10+,MORTGAGE,1,14.51,569.92,1
167,72,Male,55282.0,4674.0,36,home_improvement,724.0,1-3,RENT,0,21.81,129.83,1
168,52,Male,20387.0,3110.0,60,home_improvement,621.0,10+,RENT,0,21.49,51.83,1
169,24,Female,70438.0,12112.0,36,debt_consolidation,627.0,1-3,RENT,0,16.71,336.44,0
170,50,Female,81532.0,9790.0,60,other,714.0,10+,RENT,0,22.44,163.17,0
171,57,Female,42148.0,1000.0,60,other,708.0,10+,MORTGAGE,1,23.69,16.67,0
172,43,Female,49009.0,27345.0,60,debt_consolidation,668.0,10+,MORTGAGE,0,11.23,455.75,0
173,59,Male,93302.0,5053.0,36,home_improvement,711.0,1-3,RENT,1,11.1,140.36,0
174,65,Female,48226.0,18174.0,60,small_business,685.0,3-5,MORTGAGE,1,25.87,302.9,1
175,35,Female,51883.0,18980.0,36,education,733.0,5-10,RENT,0,21.47,527.22,0
176,63,Male,57348.0,1000.0,24,debt_consolidation,640.0,3-5,RENT,0,10.5,41.67,0
177,49,Female,79967.0,11538.0,36,home_improvement,580.0,1-3,RENT,0,19.7,320.5,0
178,56,Male,68800.0,2313.0,24,other,590.0,5-10,MORTGAGE,0,9.12,96.38,1
179,33,Male,66578.0,18668.0,24,car,629.0,5-10,OWN,0,18.35,777.83,0
180,52,Female,105536.0,15563.0,60,home_improvement,639.0,1-3,RENT,0,7.23,259.38,1
181,27,Female,47714.0,14304.0,60,small_business,678.0,1-3,RENT,0,2.75,238.4,1
182,71,Female,31484.0,7618.0,60,car,620.0,5-10,MORTGAGE,0,17.9,126.97,1
183,42,Male,90663.0,25629.0,24,other,603.0,3-5,OWN,0,34.0,1067.88,0
184,48,Female,66928.0,11600.0,36,other,572.0,10+,OWN,0,15.79,322.22,0
185,22,Male,42323.0,1704.0,60,debt_consolidation,693.0,<1,MORTGAGE,0,15.04,28.4,0
186,62,Male,49204.0,6501.0,60,debt_consolidation,678.0,5-10,MORTGAGE,0,22.52,108.35,0
187,65,Female,21782.0,1000.0,60,debt_consolidation,693.0,<1,MORTGAGE,0,28.04,16.67,0
188,73,Female,66950.0,9111.0,36,debt_consolidation,647.0,1-3,MORTGAGE,2,20.47,253.08,1
189,26,Male,16157.0,6819.0,60,debt_consolidation,805.0,3-5,MORTGAGE,1,25.03,113.65,0
190,48,Female,80461.0,21251.0,60,other,597.0,1-3,RENT,0,20.62,354.18,1
191,48,Male,44328.0,20150.0,12,small_business,684.0,1-3,OTHER,0,25.5,1679.17,0
192,64,Male,18179.0,16914.0,24,debt_consolidation,525.0,5-10,RENT,0,16.67,704.75,0
193,64,Male,92917.0,23524.0,60,other,708.0,1-3,MORTGAGE,0,27.47,392.07,0
194,40,Female,127692.0,4394.0,24,other,626.0,3-5,MORTGAGE,0,22.34,183.08,0
195,50,Male,73120.0,17865.0,24,other,586.0,10+,MORTGAGE,0,4.33,744.38,0
196,31,Female,51437.0,2058.0,24,education,711.0,5-10,RENT,1,23.3,85.75,0
197,48,Male,31198.0,10708.0,24,debt_consolidation,595.0,3-5,MORTGAGE,0,31.33,446.17,1
198,45,Female,67855.0,18071.0,24,car,621.0,1-3,OWN,0,21.82,752.96,0
199,59,Male,79102.0,10214.0,12,debt_consolidation,748.0,10+,MORTGAGE,1,14.71,851.17,0
200,53,Female,60207.0,29699.0,24,small_business,690.0,5-10,MORTGAGE,0,34.21,1237.46,1
201,21,Male,86863.0,11868.0,60,debt_consolidation,653.0,<1,MORTGAGE,0,18.45,197.8,1
202,47,Female,105417.0,22207.0,12,other,690.0,10+,RENT,0,15.27,1850.58,0
203,72,Female,22209.0,12619.0,36,other,651.0,1-3,RENT,0,20.64,350.53,0
204,33,Female,68821.0,16185.0,36,car,725.0,5-10,OWN,0,25.97,449.58,0
205,61,Male,8000.0,11715.0,60,small_business,668.0,3-5,MORTGAGE,0,14.53,195.25,0
206,23,Female,35579.0,16594.0,24,other,613.0,10+,RENT,0,18.07,691.42,0
207,59,Male,81596.0,30540.0,24,debt_consolidation,576.0,10+,MORTGAGE,0,25.57,1272.5,1
208,26,Female,58596.0,28888.0,12,car,758.0,5-10,MORTGAGE,0,14.8,2407.33,0
209,28,Female,11673.0,10615.0,60,debt_consolidation,581.0,5-10,MORTGAGE,0,21.12,176.92,1
210,47,Male,91497.0,12939.0,36,other,732.0,10+,OWN,0,14.53,359.42,0
211,29,Male,43703.0,15458.0,24,other,619.0,10+,RENT,0,20.82,644.08,1
212,57,Male,85527.0,20779.0,60,home_improvement,633.0,5-10,MORTGAGE,1,4.33,346.32,0
213,53,Female,75380.0,31690.0,12,car,767.0,1-3,MORTGAGE,0,9.77,2640.83,1
214,71,Female,35006.0,26573.0,24,home_improvement,632.0,3-5,OWN,1,10.45,1107.21,0
215,62,Male,86067.0,12599.0,36,debt_consolidation,660.0,5-10,OWN,0,21.08,349.97,0
216,64,Male,69558.0,18627.0,36,debt_consolidation,761.0,5-10,MORTGAGE,0,24.0,517.42,0
217,44,Male,65251.0,17032.0,36,debt_consolidation,722.0,3-5,RENT,0,17.07,473.11,0
218,35,Male,45955.0,9548.0,24,debt_consolidation,726.0,10+,RENT,2,6.06,397.83,0
219,74,Male,26918.0,24122.0,60,debt_consolidation,622.0,3-5,OWN,0,32.08,402.03,0
220,52,Female,47440.0,1000.0,36,small_business,618.0,5-10,OWN,0,18.77,27.78,0
221,52,Male,46787.0,24055.0,12,home_improvement,719.0,1-3,RENT,1,27.24,2004.58,1
222,44,Female,85549.0,18707.0,60,education,680.0,3-5,RENT,0,27.58,311.78,1
223,61,Female,10530.0,1000.0,60,car,676.0,3-5,OWN,1,7.34,16.67,0
224,72,Male,104121.0,5624.0,24,car,594.0,<1,MORTGAGE,0,13.27,234.33,0
225,69,Female,105768.0,1000.0,36,other,631.0,<1,MORTGAGE,0,31.13,27.78,1
226,69,Male,40770.0,30271.0,36,education,560.0,1-3,MORTGAGE,0,18.14,840.86,0
227,72,Male,102047.0,6075.0,60,debt_consolidation,689.0,10+,MORTGAGE,0,20.29,101.25,0
228,32,Male,29833.0,23192.0,24,car,710.0,1-3,RENT,0,21.91,966.33,1
229,59,Male,93814.0,23513.0,36,home_improvement,744.0,10+,MORTGAGE,0,21.94,653.14,0
230,22,Male,35410.0,13914.0,60,car,579.0,5-10,MORTGAGE,0,17.1,231.9,1
231,23,Male,91003.0,9019.0,24,other,727.0,5-10,MORTGAGE,0,12.04,375.79,0
232,69,Male,16878.0,19615.0,36,debt_consolidation,675.0,5-10,OWN,1,13.92,544.86,0
233,57,Male,92486.0,16939.0,36,debt_consolidation,752.0,10+,OWN,0,22.84,470.53,0
234,69,Male,98657.0,23426.0,60,debt_consolidation,554.0,5-10,RENT,0,8.65,390.43,0
235,37,Male,15913.0,4440.0,60,other,790.0,5-10,MORTGAGE,1,8.96,74.0,0
236,69,Male,112718.0,24202.0,24,debt_consolidation,665.0,3-5,RENT,1,15.36,1008.42,0
237,22,Male,90555.0,27129.0,24,debt_consolidation,694.0,10+,RENT,1,13.17,1130.38,1
238,22,Female,8000.0,12689.0,60,debt_consolidation,622.0,1-3,RENT,0,21.32,211.48,1
239,48,Male,45301.0,6396.0,60,debt_consolidation,611.0,3-5,RENT,0,35.08,106.6,0
240,74,Female,91128.0,10650.0,24,debt_consolidation,715.0,1-3,MORTGAGE,0,23.17,443.75,0
241,43,Male,81693.0,9239.0,36,other,656.0,3-5,RENT,0,16.37,256.64,1
242,57,Female,63354.0,13372.0,60,debt_consolidation,793.0,3-5,RENT,0,0.0,222.87,0
243,52,Male,87839.0,8357.0,12,other,659.0,10+,RENT,0,17.85,696.42,0
244,53,Female,33779.0,19109.0,24,other,738.0,10+,OWN,0,12.3,796.21,1
245,21,Female,61421.0,20730.0,36,car,664.0,5-10,RENT,1,25.61,575.83,0
246,39,Male,34633.0,11769.0,60,debt_consolidation,481.0,<1,MORTGAGE,0,11.49,196.15,1
247,22,Female,64044.0,1000.0,36,small_business,650.0,5-10,OWN,0,10.63,27.78,0
248,73,Male,90031.0,18987.0,24,debt_consolidation,732.0,1-3,OWN,0,23.28,791.12,1
249,64,Male,83447.0,1724.0,60,other,690.0,3-5,OWN,0,15.02,28.73,0
250,46,Female,66687.0,17246.0,12,home_improvement,644.0,3-5,RENT,1,16.41,1437.17,0
251,52,Female,89691.0,15647.0,36,debt_consolidation,695.0,5-10,MORTGAGE,0,12.32,434.64,0
252,26,Male,92645.0,12039.0,36,debt_consolidation,769.0,<1,RENT,1,24.25,334.42,0
253,52,Male,113920.0,20803.0,24,other,754.0,5-10,RENT,1,11.18,866.79,0
254,24,Female,95024.0,18272.0,36,education,578.0,10+,OTHER,0,20.6,507.56,0
255,31,Female,79693.0,18489.0,24,small_business,682.0,<1,OWN,0,4.05,770.38,0
256,37,Female,88023.0,22389.0,36,other,692.0,1-3,RENT,1,12.28,621.92,1
257,58,Female,67307.0,11285.0,36,other,603.0,10+,MORTGAGE,0,23.29,313.47,1
258,44,Male,51602.0,11159.0,60,debt_consolidation,625.0,5-10,OWN,0,23.06,185.98,0
259,25,Female,86028.0,24695.0,60,education,612.0,10+,RENT,0,14.45,411.58,0
260,72,Male,82714.0,20777.0,24,small_business,617.0,3-5,OWN,1,22.81,865.71,0
261,54,Male,68759.0,10773.0,60,car,573.0,1-3,RENT,1,20.58,179.55,1
262,26,Male,54162.0,1000.0,60,debt_consolidation,666.0,3-5,MORTGAGE,0,20.57,16.67,1
263,42,Female,52498.0,18528.0,12,other,729.0,10+,MORTGAGE,0,12.22,1544.0,1
264,31,Male,47739.0,19373.0,60,debt_consolidation,636.0,1-3,MORTGAGE,0,11.7,322.88,1
265,68,Female,97671.0,4088.0,36,car,794.0,10+,RENT,0,15.09,113.56,0
266,36,Male,95353.0,7363.0,60,debt_consolidation,770.0,3-5,OWN,1,14.94,122.72,0
267,53,Male,94065.0,11330.0,60,home_improvement,658.0,1-3,RENT,0,17.01,188.83,0
268,29,Female,28444.0,19071.0,60,car,662.0,3-5,MORTGAGE,0,21.91,317.85,0
269,26,Male,49221.0,37352.0,36,debt_consolidation,768.0,1-3,RENT,0,17.24,1037.56,0
270,36,Male,52278.0,25059.0,36,home_improvement,630.0,5-10,MORTGAGE,0,15.96,696.08,0
271,49,Male,41816.0,1424.0,36,debt_consolidation,697.0,1-3,RENT,1,19.25,39.56,1
272,23,Female,115878.0,11074.0,24,debt_consolidation,745.0,10+,RENT,1,34.78,461.42,1
273,40,Male,72014.0,14149.0,24,small_business,644.0,1-3,MORTGAGE,0,15.39,589.54,0
274,56,Male,69858.0,19522.0,36,other,674.0,5-10,MORTGAGE,0,13.67,542.28,1
275,39,Male,46022.0,7688.0,60,home_improvement,592.0,10+,RENT,0,20.35,128.13,1
276,46,Male,85863.0,20261.0,60,car,599.0,5-10,OWN,0,19.58,337.68,1
277,23,Male,125746.0,10383.0,60,other,786.0,5-10,OWN,0,22.23,173.05,0
278,39,Male,62429.0,20246.0,24,small_business,707.0,3-5,RENT,0,26.04,843.58,0
279,40,Male,52995.0,15682.0,36,debt_consolidation,729.0,1-3,MORTGAGE,0,2.9,435.61,0
280,52,Female,57282.0,33409.0,36,other,708.0,1-3,OTHER,0,36.29,928.03,0
281,27,Male,50338.0,23809.0,24,other,688.0,5-10,OWN,0,22.51,992.04,1
